汉字,拼音,英文释义,等级,词频,category
紫,zǐ,紫,5,2,hsk5
组,zǔ,组,5,2,hsk5
唉,āi,唉,5,2,hsk5
岸,àn,岸,5,2,hsk5
暗,àn,暗,5,2,hsk5
便,biàn,便,5,2,hsk5
布,bù,布,5,2,hsk5
册,cè,册,5,2,hsk5
趁,chèn,趁,5,2,hsk5
臭,chòu,臭,5,2,hsk5
醋,cù,醋,5,2,hsk5
淡,dàn,淡,5,2,hsk5
递,dì,递,5,2,hsk5
钓,diào,钓,5,2,hsk5
冻,dòng,冻,5,2,hsk5
洞,dòng,洞,5,2,hsk5
逗,dòu,逗,5,2,hsk5
断,duàn,断,5,2,hsk5
顿,dùn,顿,5,2,hsk5
盖,gài,盖,5,2,hsk5
恨,hèn,恨,5,2,hsk5
划,huà,划,5,2,hsk5
嫁,jià,嫁,5,2,hsk5
戒,jiè,戒,5,2,hsk5
届,jiè,届,5,2,hsk5
救,jiù,救,5,2,hsk5
靠,kào,靠,5,2,hsk5
克,kè,克,5,2,hsk5
烂,làn,烂,5,2,hsk5
亮,liàng,亮,5,2,hsk5
漏,lòu,漏,5,2,hsk5
骂,mà,骂,5,2,hsk5
嫩,nèn,嫩,5,2,hsk5
念,niàn,念,5,2,hsk5
派,pài,派,5,2,hsk5
碰,pèng,碰,5,2,hsk5
片,piàn,片,5,2,hsk5
欠,qiàn,欠,5,2,hsk5
劝,quàn,劝,5,2,hsk5
绕,rào,绕,5,2,hsk5
弱,ruò,弱,5,2,hsk5
晒,shài,晒,5,2,hsk5
数,shù,数,5,2,hsk5
税,shuì,税,5,2,hsk5
碎,suì,碎,5,2,hsk5
烫,tàng,烫,5,2,hsk5
套,tào,套,5,2,hsk5
退,tuì,退,5,2,hsk5
胃,wèi,胃,5,2,hsk5
勿,wù,勿,5,2,hsk5
雾,wù,雾,5,2,hsk5
系,xì,系,5,2,hsk5
吓,xià,吓,5,2,hsk5
县,xiàn,县,5,2,hsk5
项,xiàng,项,5,2,hsk5
血,xuè,血,5,2,hsk5
夜,yè,夜,5,2,hsk5
亿,yì,亿,5,2,hsk5
硬,yìng,硬,5,2,hsk5
占,zhàn,占,5,2,hsk5
阵,zhèn,阵,5,2,hsk5
正,zhèng,正,5,2,hsk5
挣,zhēng,挣,5,2,hsk5
撞,zhuàng,撞,5,2,hsk5
醉,zuì,醉,5,2,hsk5
安装,ānzhuāng,安装,5,2,hsk5
悲观,bēiguān,悲观,5,2,hsk5
操心,cāoxīn,操心,5,2,hsk5
车厢,chēxiāng,车厢,5,2,hsk5
吃亏,chīkuī,吃亏,5,2,hsk5
粗糙,cūcāo,粗糙,5,2,hsk5
当心,dāngxīn,当心,5,2,hsk5
多亏,duōkuī,多亏,5,2,hsk5
发挥,fāhuī,发挥,5,2,hsk5
分析,fēnxī,分析,5,2,hsk5
纷纷,fēnfēn,纷纷,5,2,hsk5
公开,gōngkāi,公开,5,2,hsk5
沟通,gōutōng,沟通,5,2,hsk5
呼吸,hūxī,呼吸,5,2,hsk5
花生,huāshēng,花生,5,2,hsk5
慌张,huāngzhāng,慌张,5,2,hsk5
灰心,huīxīn,灰心,5,2,hsk5
婚姻,hūnyīn,婚姻,5,2,hsk5
家乡,jiāxiāng,家乡,5,2,hsk5
嘉宾,jiābīn,嘉宾,5,2,hsk5
经商,jīngshāng,经商,5,2,hsk5
开发,kāifā,开发,5,2,hsk5
空间,kōngjiān,空间,5,2,hsk5
夸张,kuāzhāng,夸张,5,2,hsk5
欧洲,ōuzhōu,欧洲,5,2,hsk5
拼音,pīnyīn,拼音,5,2,hsk5
期间,qījiān,期间,5,2,hsk5
谦虚,qiānxū,谦虚,5,2,hsk5
悄悄,qiāoqiāo,悄悄,5,2,hsk5
青春,qīngchūn,青春,5,2,hsk5
沙滩,shātān,沙滩,5,2,hsk5
双方,shuāngfāng,双方,5,2,hsk5
天空,tiānkōng,天空,5,2,hsk5
天真,tiānzhēn,天真,5,2,hsk5
突出,tūchū,突出,5,2,hsk5
吸收,xīshōu,吸收,5,2,hsk5
相当,xiāngdāng,相当,5,2,hsk5
相关,xiāngguān,相关,5,2,hsk5
消失,xiāoshī,消失,5,2,hsk5
虚心,xūxīn,虚心,5,2,hsk5
押金,yājīn,押金,5,2,hsk5
糟糕,zāogāo,糟糕,5,2,hsk5
粘贴,zhāntiē,粘贴,5,2,hsk5
珍惜,zhēnxī,珍惜,5,2,hsk5
中心,zhōngxīn,中心,5,2,hsk5
专家,zhuānjiā,专家,5,2,hsk5
专心,zhuānxīn,专心,5,2,hsk5
装修,zhuāngxiū,装修,5,2,hsk5
资金,zījīn,资金,5,2,hsk5
包含,bāohán,包含,5,2,hsk5
编辑,biānjí,编辑,5,2,hsk5
超级,chāojí,超级,5,2,hsk5
出席,chūxí,出席,5,2,hsk5
初级,chūjí,初级,5,2,hsk5
窗帘,chuānglián,窗帘,5,2,hsk5
匆忙,cōngmáng,匆忙,5,2,hsk5
单纯,dānchún,单纯,5,2,hsk5
单独,dāndú,单独,5,2,hsk5
单元,dānyuán,单元,5,2,hsk5
多余,duōyú,多余,5,2,hsk5
发愁,fāchóu,发愁,5,2,hsk5
发达,fādá,发达,5,2,hsk5
发明,fāmíng,发明,5,2,hsk5
发言,fāyán,发言,5,2,hsk5
分别,fēnbié,分别,5,2,hsk5
风格,fēnggé,风格,5,2,hsk5
风俗,fēngsú,风俗,5,2,hsk5
疯狂,fēngkuáng,疯狂,5,2,hsk5
高级,gāojí,高级,5,2,hsk5
工人,gōngrén,工人,5,2,hsk5
公平,gōngpíng,公平,5,2,hsk5
公元,gōngyuán,公元,5,2,hsk5
功能,gōngnéng,功能,5,2,hsk5
观察,guānchá,观察,5,2,hsk5
光滑,guānghuá,光滑,5,2,hsk5
光临,guānglín,光临,5,2,hsk5
光明,guāngmíng,光明,5,2,hsk5
光盘,guāngpán,光盘,5,2,hsk5
规模,guīmó,规模,5,2,hsk5
规则,guīzé,规则,5,2,hsk5
忽然,hūrán,忽然,5,2,hsk5
灰尘,huīchén,灰尘,5,2,hsk5
家庭,jiātíng,家庭,5,2,hsk5
坚决,jiānjué,坚决,5,2,hsk5
坚强,jiānqiáng,坚强,5,2,hsk5
兼职,jiānzhí,兼职,5,2,hsk5
经营,jīngyíng,经营,5,2,hsk5
居然,jūrán,居然,5,2,hsk5
均匀,jūnyún,均匀,5,2,hsk5
昆虫,kūnchóng,昆虫,5,2,hsk5
缺乏,quēfá,缺乏,5,2,hsk5
删除,shānchú,删除,5,2,hsk5
身材,shēncái,身材,5,2,hsk5
失眠,shīmián,失眠,5,2,hsk5
说服,shuōfú,说服,5,2,hsk5
丝绸,sīchóu,丝绸,5,2,hsk5
丝毫,sīháo,丝毫,5,2,hsk5
私人,sīrén,私人,5,2,hsk5
通常,tōngcháng,通常,5,2,hsk5
推辞,tuīcí,推辞,5,2,hsk5
威胁,wēixié,威胁,5,2,hsk5
温柔,wēnróu,温柔,5,2,hsk5
香肠,xiāngcháng,香肠,5,2,hsk5
消极,xiāojí,消极,5,2,hsk5
休闲,xiūxián,休闲,5,2,hsk5
宣传,xuānchuán,宣传,5,2,hsk5
依然,yīrán,依然,5,2,hsk5
因而,yīnér,因而,5,2,hsk5
英雄,yīngxióng,英雄,5,2,hsk5
真实,zhēnshí,真实,5,2,hsk5
征求,zhēngqiú,征求,5,2,hsk5
中旬,zhōngxún,中旬,5,2,hsk5
追求,zhuīqiú,追求,5,2,hsk5
咨询,zīxún,咨询,5,2,hsk5
资格,zīgé,资格,5,2,hsk5
资源,zīyuán,资源,5,2,hsk5
综合,zōnghé,综合,5,2,hsk5
包裹,bāoguǒ,包裹,5,2,hsk5
标点,biāodiǎn,标点,5,2,hsk5
参考,cānkǎo,参考,5,2,hsk5
操场,cāochǎng,操场,5,2,hsk5
充满,chōngmǎn,充满,5,2,hsk5
出版,chūbǎn,出版,5,2,hsk5
出口,chūkǒu,出口,5,2,hsk5
发表,fābiǎo,发表,5,2,hsk5
发抖,fādǒu,发抖,5,2,hsk5
分手,fēnshǒu,分手,5,2,hsk5
风景,fēngjǐng,风景,5,2,hsk5
风险,fēngxiǎn,风险,5,2,hsk5
钢铁,gāngtiě,钢铁,5,2,hsk5
根本,gēnběn,根本,5,2,hsk5
工厂,gōngchǎng,工厂,5,2,hsk5
公主,gōngzhǔ,公主,5,2,hsk5
恭喜,gōngxǐ,恭喜,5,2,hsk5
观点,guāndiǎn,观点,5,2,hsk5
婚礼,hūnlǐ,婚礼,5,2,hsk5
基本,jīběn,基本,5,2,hsk5
肩膀,jiānbǎng,肩膀,5,2,hsk5
艰苦,jiānkǔ,艰苦,5,2,hsk5
交往,jiāowǎng,交往,5,2,hsk5
胶水,jiāoshuǐ,胶水,5,2,hsk5
金属,jīnshǔ,金属,5,2,hsk5
经典,jīngdiǎn,经典,5,2,hsk5
开水,kāishuǐ,开水,5,2,hsk5
批准,pīzhǔn,批准,5,2,hsk5
商品,shāngpǐn,商品,5,2,hsk5
生产,shēngchǎn,生产,5,2,hsk5
生长,shēngzhǎng,生长,5,2,hsk5
摔倒,shuāidǎo,摔倒,5,2,hsk5
思考,sīkǎo,思考,5,2,hsk5
思想,sīxiǎng,思想,5,2,hsk5
搜索,sōusuǒ,搜索,5,2,hsk5
缩短,suōduǎn,缩短,5,2,hsk5
推广,tuīguǎng,推广,5,2,hsk5
温暖,wēnnuǎn,温暖,5,2,hsk5
吸取,xīqǔ,吸取,5,2,hsk5
相处,xiāngchǔ,相处,5,2,hsk5
心理,xīnlǐ,心理,5,2,hsk5
欣赏,xīnshǎng,欣赏,5,2,hsk5
修改,xiūgǎi,修改,5,2,hsk5
拥挤,yōngjǐ,拥挤,5,2,hsk5
优美,yōuměi,优美,5,2,hsk5
悠久,yōujiǔ,悠久,5,2,hsk5
争取,zhēngqǔ,争取,5,2,hsk5
抓紧,zhuājǐn,抓紧,5,2,hsk5
遵守,zūnshǒu,遵守,5,2,hsk5
安慰,ānwèi,安慰,5,2,hsk5
包括,bāokuò,包括,5,2,hsk5
鞭炮,biānpào,鞭炮,5,2,hsk5
标志,biāozhì,标志,5,2,hsk5
播放,bōfàng,播放,5,2,hsk5
参与,cānyù,参与,5,2,hsk5
差距,chājù,差距,5,2,hsk5
车库,chēkù,车库,5,2,hsk5
称赞,chēngzàn,称赞,5,2,hsk5
充分,chōngfèn,充分,5,2,hsk5
抽象,chōuxiàng,抽象,5,2,hsk5
出色,chūsè,出色,5,2,hsk5
出示,chūshì,出示,5,2,hsk5
担任,dānrèn,担任,5,2,hsk5
单调,dāndiào,单调,5,2,hsk5
单位,dānwèi,单位,5,2,hsk5
当地,dāngdì,当地,5,2,hsk5
登记,dēngjì,登记,5,2,hsk5
发票,fāpiào,发票,5,2,hsk5
方案,fāngàn,方案,5,2,hsk5
方式,fāngshì,方式,5,2,hsk5
分布,fēnbù,分布,5,2,hsk5
分配,fēnpèi,分配,5,2,hsk5
干脆,gāncuì,干脆,5,2,hsk5
干燥,gānzào,干燥,5,2,hsk5
高档,gāodàng,高档,5,2,hsk5
工具,gōngjù,工具,5,2,hsk5
工业,gōngyè,工业,5,2,hsk5
公布,gōngbù,公布,5,2,hsk5
公寓,gōngyù,公寓,5,2,hsk5
关闭,guānbì,关闭,5,2,hsk5
观念,guānniàn,观念,5,2,hsk5
规律,guīlǜ,规律,5,2,hsk5
归纳,guīnà,归纳,5,2,hsk5
忽视,hūshì,忽视,5,2,hsk5
恢复,huīfù,恢复,5,2,hsk5
机器,jīqì,机器,5,2,hsk5
肌肉,jīròu,肌肉,5,2,hsk5
激烈,jīliè,激烈,5,2,hsk5
家务,jiāwù,家务,5,2,hsk5
艰巨,jiānjù,艰巨,5,2,hsk5
交换,jiāohuàn,交换,5,2,hsk5
交际,jiāojì,交际,5,2,hsk5
阶段,jiēduàn,阶段,5,2,hsk5
接触,jiēchù,接触,5,2,hsk5
接待,jiēdài,接待,5,2,hsk5
接近,jiējìn,接近,5,2,hsk5
精力,jīnglì,精力,5,2,hsk5
军事,jūnshì,军事,5,2,hsk5
开放,kāifàng,开放,5,2,hsk5
期待,qīdài,期待,5,2,hsk5
亲爱,qīnài,亲爱,5,2,hsk5
亲切,qīnqiè,亲切,5,2,hsk5
亲自,qīnzì,亲自,5,2,hsk5
轻视,qīngshì,轻视,5,2,hsk5
轻易,qīngyì,轻易,5,2,hsk5
清淡,qīngdàn,清淡,5,2,hsk5
趋势,qūshì,趋势,5,2,hsk5
沙漠,shāmò,沙漠,5,2,hsk5
伤害,shānghài,伤害,5,2,hsk5
商务,shāngwù,商务,5,2,hsk5
商业,shāngyè,商业,5,2,hsk5
身份,shēnfèn,身份,5,2,hsk5
深刻,shēnkè,深刻,5,2,hsk5
生动,shēngdòng,生动,5,2,hsk5
声调,shēngdiào,声调,5,2,hsk5
失去,shīqù,失去,5,2,hsk5
失业,shīyè,失业,5,2,hsk5
湿润,shīrùn,湿润,5,2,hsk5
收获,shōuhuò,收获,5,2,hsk5
收据,shōujù,收据,5,2,hsk5
书架,shūjià,书架,5,2,hsk5
舒适,shūshì,舒适,5,2,hsk5
输入,shūrù,输入,5,2,hsk5
蔬菜,shūcài,蔬菜,5,2,hsk5
说不定,shuōbùdìng,说不定,5,2,hsk5
推荐,tuījiàn,推荐,5,2,hsk5
危害,wēihài,危害,5,2,hsk5
微笑,wēixiào,微笑,5,2,hsk5
鲜艳,xiānyàn,鲜艳,5,2,hsk5
相对,xiāngduì,相对,5,2,hsk5
相似,xiāngsì,相似,5,2,hsk5
消费,xiāofèi,消费,5,2,hsk5
消化,xiāohuà,消化,5,2,hsk5
销售,xiāoshòu,销售,5,2,hsk5
心脏,xīnzàng,心脏,5,2,hsk5
兄弟,xiōngdì,兄弟,5,2,hsk5
宣布,xuānbù,宣布,5,2,hsk5
因素,yīnsù,因素,5,2,hsk5
英俊,yīngjùn,英俊,5,2,hsk5
拥抱,yōngbào,拥抱,5,2,hsk5
优惠,yōuhuì,优惠,5,2,hsk5
优势,yōushì,优势,5,2,hsk5
灾害,zāihài,灾害,5,2,hsk5
招待,zhāodài,招待,5,2,hsk5
针对,zhēnduì,针对,5,2,hsk5
争论,zhēnglùn,争论,5,2,hsk5
支票,zhīpiào,支票,5,2,hsk5
中介,zhōngjiè,中介,5,2,hsk5
周到,zhōudào,周到,5,2,hsk5
装饰,zhuāngshì,装饰,5,2,hsk5
姿势,zīshì,姿势,5,2,hsk5
资料,zīliào,资料,5,2,hsk5
尊敬,zūnjìng,尊敬,5,2,hsk5
玻璃,bōlí,玻璃,5,2,hsk5
叉子,chāzi,叉子,5,2,hsk5
称呼,chēnghū,称呼,5,2,hsk5
抽屉,chōutì,抽屉,5,2,hsk5
答应,dāyìng,答应,5,2,hsk5
耽误,dānwù,耽误,5,2,hsk5
姑姑,gūgū,姑姑,5,2,hsk5
规矩,guījǔ,规矩,5,2,hsk5
姑娘,gūniáng,姑娘,5,2,hsk5
夹子,jiāzi,夹子,5,2,hsk5
结实,jiēshí,结实,5,2,hsk5
精神,jīngshén,精神,5,2,hsk5
狮子,shīzi,狮子,5,2,hsk5
梳子,shūzi,梳子,5,2,hsk5
屋子,wūzi,屋子,5,2,hsk5
曾经,céngjīng,曾经,5,2,hsk5
潮湿,cháoshī,潮湿,5,2,hsk5
承担,chéngdān,承担,5,2,hsk5
除非,chúfēi,除非,5,2,hsk5
除夕,chúxī,除夕,5,2,hsk5
传播,chuánbō,传播,5,2,hsk5
传说,chuánshuō,传说,5,2,hsk5
服装,fúzhuāng,服装,5,2,hsk5
核心,héxīn,核心,5,2,hsk5
胡说,húshuō,胡说,5,2,hsk5
黄金,huángjīn,黄金,5,2,hsk5
集中,jízhōng,集中,5,2,hsk5
决心,juéxīn,决心,5,2,hsk5
离婚,líhūn,离婚,5,2,hsk5
明星,míngxīng,明星,5,2,hsk5
农村,nóngcūn,农村,5,2,hsk5
平安,píngān,平安,5,2,hsk5
平方,píngfāng,平方,5,2,hsk5
平均,píngjūn,平均,5,2,hsk5
燃烧,ránshāo,燃烧,5,2,hsk5
人生,rénshēng,人生,5,2,hsk5
如今,rújīn,如今,5,2,hsk5
时差,shíchà,时差,5,2,hsk5
时期,shíqī,时期,5,2,hsk5
随身,suíshēn,随身,5,2,hsk5
台阶,táijiē,台阶,5,2,hsk5
提纲,tígāng,提纲,5,2,hsk5
投资,tóuzī,投资,5,2,hsk5
围巾,wéijīn,围巾,5,2,hsk5
唯一,wéiyī,唯一,5,2,hsk5
维修,wéixiū,维修,5,2,hsk5
迎接,yíngjiē,迎接,5,2,hsk5
员工,yuángōng,员工,5,2,hsk5
长途,chángtú,长途,5,2,hsk5
常识,chángshí,常识,5,2,hsk5
成人,chéngrén,成人,5,2,hsk5
成熟,chéngshú,成熟,5,2,hsk5
池塘,chítáng,池塘,5,2,hsk5
辞职,cízhí,辞职,5,2,hsk5
从而,cóngér,从而,5,2,hsk5
从前,cóngqián,从前,5,2,hsk5
敌人,dírén,敌人,5,2,hsk5
繁荣,fánróng,繁荣,5,2,hsk5
国王,guówáng,国王,5,2,hsk5
豪华,háohuá,豪华,5,2,hsk5
和平,hépíng,和平,5,2,hsk5
蝴蝶,húdié,蝴蝶,5,2,hsk5
及格,jígé,及格,5,2,hsk5
极其,jíqí,极其,5,2,hsk5
急忙,jímáng,急忙,5,2,hsk5
集合,jíhé,集合,5,2,hsk5
结合,jiéhé,结合,5,2,hsk5
连忙,liánmáng,连忙,5,2,hsk5
联合,liánhé,联合,5,2,hsk5
临时,línshí,临时,5,2,hsk5
灵活,línghuó,灵活,5,2,hsk5
零食,língshí,零食,5,2,hsk5
流传,liúchuán,流传,5,2,hsk5
轮流,lúnliú,轮流,5,2,hsk5
名牌,míngpái,名牌,5,2,hsk5
能源,néngyuán,能源,5,2,hsk5
农民,nóngmín,农民,5,2,hsk5
赔偿,péicháng,赔偿,5,2,hsk5
疲劳,píláo,疲劳,5,2,hsk5
平常,píngcháng,平常,5,2,hsk5
平衡,pínghéng,平衡,5,2,hsk5
其余,qíyú,其余,5,2,hsk5
前途,qiántú,前途,5,2,hsk5
球迷,qiúmí,球迷,5,2,hsk5
人才,réncái,人才,5,2,hsk5
人员,rényuán,人员,5,2,hsk5
如何,rúhé,如何,5,2,hsk5
时髦,shímáo,时髦,5,2,hsk5
实习,shíxí,实习,5,2,hsk5
随时,suíshí,随时,5,2,hsk5
调皮,tiáopí,调皮,5,2,hsk5
文明,wénmíng,文明,5,2,hsk5
文学,wénxué,文学,5,2,hsk5
行人,xíngrén,行人,5,2,hsk5
行为,xíngwéi,行为,5,2,hsk5
形成,xíngchéng,形成,5,2,hsk5
形容,xíngróng,形容,5,2,hsk5
延长,yáncháng,延长,5,2,hsk5
阳台,yángtái,阳台,5,2,hsk5
移民,yímín,移民,5,2,hsk5
油炸,yóuzhá,油炸,5,2,hsk5
原则,yuánzé,原则,5,2,hsk5
着凉,zháoliáng,着凉,5,2,hsk5
哲学,zhéxué,哲学,5,2,hsk5
财产,cáichǎn,财产,5,2,hsk5
成果,chéngguǒ,成果,5,2,hsk5
成语,chéngyǔ,成语,5,2,hsk5
成长,chéngzhǎng,成长,5,2,hsk5
诚恳,chéngkěn,诚恳,5,2,hsk5
迟早,chízǎo,迟早,5,2,hsk5
传染,chuánrǎn,传染,5,2,hsk5
传统,chuántǒng,传统,5,2,hsk5
从此,cóngcǐ,从此,5,2,hsk5
罚款,fákuǎn,罚款,5,2,hsk5
合法,héfǎ,合法,5,2,hsk5
合理,hélǐ,合理,5,2,hsk5
合影,héyǐng,合影,5,2,hsk5
急诊,jízhěn,急诊,5,2,hsk5
集体,jítǐ,集体,5,2,hsk5
节省,jiéshěng,节省,5,2,hsk5
厘米,límǐ,厘米,5,2,hsk5
良好,liánghǎo,良好,5,2,hsk5
浏览,liúlǎn,浏览,5,2,hsk5
媒体,méitǐ,媒体,5,2,hsk5
描写,miáoxiě,描写,5,2,hsk5
明显,míngxiǎn,明显,5,2,hsk5
模仿,mófǎng,模仿,5,2,hsk5
难免,nánmiǎn,难免,5,2,hsk5
培养,péiyǎng,培养,5,2,hsk5
平等,píngděng,平等,5,2,hsk5
情景,qíngjǐng,情景,5,2,hsk5
人口,rénkǒu,人口,5,2,hsk5
随手,suíshǒu,随手,5,2,hsk5
调整,tiáozhěng,调整,5,2,hsk5
完美,wánměi,完美,5,2,hsk5
完整,wánzhěng,完整,5,2,hsk5
王子,wángzǐ,王子,5,2,hsk5
违反,wéifǎn,违反,5,2,hsk5
寻找,xúnzhǎo,寻找,5,2,hsk5
牙齿,yáchǐ,牙齿,5,2,hsk5
营养,yíngyǎng,营养,5,2,hsk5
游览,yóulǎn,游览,5,2,hsk5
着火,zháohuǒ,着火,5,2,hsk5
熬夜,áoyè,熬夜,5,2,hsk5
不断,bùduàn,不断,5,2,hsk5
惭愧,cánkuì,惭愧,5,2,hsk5
沉默,chénmò,沉默,5,2,hsk5
成分,chéngfèn,成分,5,2,hsk5
成就,chéngjiù,成就,5,2,hsk5
成立,chénglì,成立,5,2,hsk5
承认,chéngrèn,承认,5,2,hsk5
承受,chéngshòu,承受,5,2,hsk5
程度,chéngdù,程度,5,2,hsk5
程序,chéngxù,程序,5,2,hsk5
持续,chíxù,持续,5,2,hsk5
重复,chóngfù,重复,5,2,hsk5
词汇,cíhuì,词汇,5,2,hsk5
从事,cóngshì,从事,5,2,hsk5
存在,cúnzài,存在,5,2,hsk5
达到,dádào,达到,5,2,hsk5
的确,díquè,的确,5,2,hsk5
独立,dúlì,独立,5,2,hsk5
独特,dútè,独特,5,2,hsk5
妨碍,fángài,妨碍,5,2,hsk5
肥皂,féizào,肥皂,5,2,hsk5
格外,géwài,格外,5,2,hsk5
隔壁,gébì,隔壁,5,2,hsk5
行业,hángyè,行业,5,2,hsk5
合作,hézuò,合作,5,2,hsk5
何必,hébì,何必,5,2,hsk5
何况,hékuàng,何况,5,2,hsk5
胡同,hútòng,胡同,5,2,hsk5
华裔,huáyì,华裔,5,2,hsk5
怀念,huáiniàn,怀念,5,2,hsk5
怀孕,huáiyùn,怀孕,5,2,hsk5
活跃,huóyuè,活跃,5,2,hsk5
结构,jiégòu,结构,5,2,hsk5
结论,jiélùn,结论,5,2,hsk5
结账,jiézhàng,结账,5,2,hsk5
决赛,juésài,决赛,5,2,hsk5
角色,juésè,角色,5,2,hsk5
绝对,juéduì,绝对,5,2,hsk5
劳动,láodòng,劳动,5,2,hsk5
劳驾,láojià,劳驾,5,2,hsk5
连续,liánxù,连续,5,2,hsk5
零件,língjiàn,零件,5,2,hsk5
流泪,liúlèi,流泪,5,2,hsk5
毛病,máobìng,毛病,5,2,hsk5
矛盾,máodùn,矛盾,5,2,hsk5
煤炭,méitàn,煤炭,5,2,hsk5
名片,míngpiàn,名片,5,2,hsk5
明确,míngquè,明确,5,2,hsk5
模特,mótè,模特,5,2,hsk5
难怪,nánguài,难怪,5,2,hsk5
能干,nénggàn,能干,5,2,hsk5
年代,niándài,年代,5,2,hsk5
年纪,niánjì,年纪,5,2,hsk5
农业,nóngyè,农业,5,2,hsk5
培训,péixùn,培训,5,2,hsk5
频道,píndào,频道,5,2,hsk5
平静,píngjìng,平静,5,2,hsk5
评价,píngjià,评价,5,2,hsk5
奇迹,qíjì,奇迹,5,2,hsk5
强调,qiángdiào,强调,5,2,hsk5
强烈,qiángliè,强烈,5,2,hsk5
勤奋,qínfèn,勤奋,5,2,hsk5
情绪,qíngxù,情绪,5,2,hsk5
权力,quánlì,权力,5,2,hsk5
权利,quánlì,权利,5,2,hsk5
全面,quánmiàn,全面,5,2,hsk5
人类,rénlèi,人类,5,2,hsk5
人事,rénshì,人事,5,2,hsk5
人物,rénwù,人物,5,2,hsk5
神话,shénhuà,神话,5,2,hsk5
神秘,shénmì,神秘,5,2,hsk5
时代,shídài,时代,5,2,hsk5
时刻,shíkè,时刻,5,2,hsk5
时尚,shíshàng,时尚,5,2,hsk5
实话,shíhuà,实话,5,2,hsk5
实践,shíjiàn,实践,5,2,hsk5
实现,shíxiàn,实现,5,2,hsk5
实验,shíyàn,实验,5,2,hsk5
实用,shíyòng,实用,5,2,hsk5
食物,shíwù,食物,5,2,hsk5
熟练,shúliàn,熟练,5,2,hsk5
谈判,tánpàn,谈判,5,2,hsk5
逃避,táobì,逃避,5,2,hsk5
淘气,táoqì,淘气,5,2,hsk5
疼爱,téngài,疼爱,5,2,hsk5
提倡,tíchàng,提倡,5,2,hsk5
提问,tíwèn,提问,5,2,hsk5
题目,tímù,题目,5,2,hsk5
投入,tóurù,投入,5,2,hsk5
完善,wánshàn,完善,5,2,hsk5
玩具,wánjù,玩具,5,2,hsk5
围绕,wéirào,围绕,5,2,hsk5
文件,wénjiàn,文件,5,2,hsk5
文具,wénjù,文具,5,2,hsk5
文字,wénzì,文字,5,2,hsk5
无数,wúshù,无数,5,2,hsk5
无奈,wúnài,无奈,5,2,hsk5
行动,xíngdòng,行动,5,2,hsk5
形式,xíngshì,形式,5,2,hsk5
形势,xíngshì,形势,5,2,hsk5
形象,xíngxiàng,形象,5,2,hsk5
形状,xíngzhuàng,形状,5,2,hsk5
学历,xuélì,学历,5,2,hsk5
学术,xuéshù,学术,5,2,hsk5
询问,xúnwèn,询问,5,2,hsk5
严肃,yánsù,严肃,5,2,hsk5
一旦,yídàn,一旦,5,2,hsk5
一律,yīlǜ,一律,5,2,hsk5
一再,yīzài,一再,5,2,hsk5
一致,yízhì,一致,5,2,hsk5
移动,yídòng,移动,5,2,hsk5
遗憾,yíhàn,遗憾,5,2,hsk5
疑问,yíwèn,疑问,5,2,hsk5
营业,yíngyè,营业,5,2,hsk5
犹豫,yóuyù,犹豫,5,2,hsk5
娱乐,yúlè,娱乐,5,2,hsk5
元旦,yuándàn,元旦,5,2,hsk5
原料,yuánliào,原料,5,2,hsk5
责备,zébèi,责备,5,2,hsk5
执照,zhízhào,执照,5,2,hsk5
逐步,zhúbù,逐步,5,2,hsk5
逐渐,zhújiàn,逐渐,5,2,hsk5
脖子,bózi,脖子,5,2,hsk5
合同,hétóng,合同,5,2,hsk5
猴子,hóuzi,猴子,5,2,hsk5
糊涂,hútú,糊涂,5,2,hsk5
桔子,júzi,桔子,5,2,hsk5
粮食,liángshí,粮食,5,2,hsk5
逻辑,luójí,逻辑,5,2,hsk5
馒头,mántou,馒头,5,2,hsk5
眉毛,méimáo,眉毛,5,2,hsk5
苗条,miáotiáo,苗条,5,2,hsk5
模糊,móhú,模糊,5,2,hsk5
绳子,shéngzi,绳子,5,2,hsk5
石头,shítou,石头,5,2,hsk5
学问,xuéwèn,学问,5,2,hsk5
竹子,zhúzi,竹子,5,2,hsk5
本科,běnkē,本科,5,2,hsk5
补充,bǔchōng,补充,5,2,hsk5
产生,chǎnshēng,产生,5,2,hsk5
打工,dǎgōng,打工,5,2,hsk5
感激,gǎnjī,感激,5,2,hsk5
拐弯,guǎiwān,拐弯,5,2,hsk5
海关,hǎiguān,海关,5,2,hsk5
海鲜,hǎixiān,海鲜,5,2,hsk5
假装,jiǎzhuāng,假装,5,2,hsk5
剪刀,jiǎndāo,剪刀,5,2,hsk5
酒吧,jiǔbā,酒吧,5,2,hsk5
卡车,kǎchē,卡车,5,2,hsk5
启发,qǐfā,启发,5,2,hsk5
取消,qǔxiāo,取消,5,2,hsk5
始终,shǐzhōng,始终,5,2,hsk5
手工,shǒugōng,手工,5,2,hsk5
鼠标,shǔbiāo,鼠标,5,2,hsk5
损失,sǔnshī,损失,5,2,hsk5
体贴,tǐtiē,体贴,5,2,hsk5
统一,tǒngyī,统一,5,2,hsk5
展开,zhǎnkāi,展开,5,2,hsk5
指挥,zhǐhuī,指挥,5,2,hsk5
主观,zhǔguān,主观,5,2,hsk5
主张,zhǔzhāng,主张,5,2,hsk5
